date,product_id,category,brand,region,customer_id,age,loyalty_tier,price,discount,qty_sold,ad_spend,channel,holiday,competitor_price,stock,revenue
2024-10-01,P171,Hats,Nike,Delhi,C399,42,Silver,3122,3,9,11239,Google Ads,1,4719,384,27255.059999999998
2024-03-07,P188,Jackets,Nike,Mumbai,C565,51,Platinum,1611,7,49,18793,Website,1,5433,437,73413.26999999999
2024-07-06,P132,Socks,Nike,Bangalore,C700,25,Bronze,2277,0,44,17873,Instagram,1,5006,287,100188.0
2025-01-31,P202,Sneakers,Adidas,Kolkata,C140,35,Gold,1251,32,15,2714,Website,1,1285,159,12760.199999999999
2025-01-05,P213,Hats,Zara,Delhi,C488,64,Gold,3427,7,41,3090,Instagram,0,3895,416,130671.50999999998
2024-03-31,P126,Jackets,Adidas,Mumbai,C657,28,Silver,3113,0,34,6326,Instagram,0,3463,428,105842.0
2024-12-25,P119,Jeans,Levis,Chennai,C454,35,Silver,4298,18,9,17364,Website,0,5356,324,31719.24
2024-05-07,P116,Jackets,Zara,Mumbai,C224,54,Bronze,2087,19,11,12901,Instagram,1,4070,76,18595.170000000002
2024-06-06,P134,Jeans,Levis,Kolkata,C260,45,Gold,2057,45,7,2188,Website,1,1655,171,7919.450000000001
2024-07-10,P139,T-shirts,Levis,Chennai,C729,55,Silver,3498,8,32,2008,Instagram,1,1973,488,102981.12000000001
2024-05-02,P242,Jackets,Nike,Delhi,C363,56,Silver,1772,15,30,13254,Instagram,0,4801,84,45186.0
2024-08-11,P282,Jackets,Puma,Mumbai,C325,60,Gold,4100,29,42,948,Google Ads,0,4236,290,122262.0
2025-01-23,P164,Jackets,Zara,Chennai,C696,35,Platinum,3142,10,9,3973,Google Ads,0,3369,356,25450.2
2024-10-02,P133,Socks,Nike,Bangalore,C288,18,Platinum,3533,37,10,4442,Website,1,2032,165,22257.9
2025-02-04,P128,T-shirts,Adidas,Delhi,C402,22,Platinum,4364,40,10,17278,Facebook,1,5067,121,26184.0
2024-12-16,P269,Hats,Levis,Chennai,C582,62,Silver,1690,11,1,4854,Google Ads,0,1444,65,1504.1
2024-06-24,P208,Jeans,Levis,Delhi,C779,61,Platinum,4594,40,22,15455,Website,1,1661,210,60640.8
2024-05-01,P187,Jackets,Adidas,Bangalore,C963,62,Gold,3953,27,28,11057,Google Ads,1,4200,256,80799.32
2025-02-19,P144,Socks,Zara,Chennai,C533,49,Silver,3658,22,14,11990,Facebook,1,3273,461,39945.36
2024-04-27,P163,Sneakers,Adidas,Delhi,C448,60,Silver,4933,25,11,17240,Google Ads,0,4773,101,40697.25
2024-12-07,P161,Sneakers,Adidas,Kolkata,C842,40,Gold,4041,6,7,14971,Facebook,0,2357,322,26589.78
2024-11-12,P292,Socks,Puma,Delhi,C348,27,Platinum,3431,38,23,14821,Google Ads,0,3839,263,48926.06
2024-03-13,P264,Hats,Puma,Chennai,C206,29,Silver,3229,11,21,11835,Instagram,0,2886,381,60350.01
2024-04-23,P271,Jeans,Puma,Mumbai,C604,58,Silver,4163,29,41,10844,Google Ads,0,2264,468,121184.93000000001
2024-09-27,P155,Sneakers,Levis,Chennai,C439,54,Silver,4214,48,24,8898,Google Ads,1,5370,454,52590.72
2024-07-31,P179,Socks,Nike,Bangalore,C567,40,Bronze,4576,26,19,7132,Website,1,4476,393,64338.56
2025-02-24,P285,Sneakers,Nike,Delhi,C833,48,Silver,2968,20,35,16602,Google Ads,0,4061,131,83104.0
2024-11-03,P210,T-shirts,Puma,Mumbai,C187,19,Bronze,3552,0,10,17090,Instagram,1,4539,407,35520.0
2024-03-17,P290,Hats,Zara,Bangalore,C309,45,Gold,4521,28,14,17912,Website,1,4778,443,45571.68
2024-06-28,P178,Hats,Puma,Mumbai,C375,38,Bronze,1418,36,18,6726,Facebook,1,5314,89,16335.36
2024-03-22,P164,Sneakers,Nike,Kolkata,C107,27,Silver,1848,23,31,12448,Website,0,2127,344,44111.76
2024-11-25,P293,T-shirts,Adidas,Kolkata,C481,50,Gold,2715,41,28,10925,Facebook,0,1263,483,44851.8
2025-02-24,P295,Hats,Nike,Delhi,C594,34,Silver,4200,42,32,8287,Website,0,4334,432,77952.00000000001
2024-09-10,P297,Hats,Adidas,Mumbai,C961,44,Silver,4588,9,45,6613,Website,0,5066,262,187878.6
2024-11-29,P298,Socks,Levis,Mumbai,C880,63,Gold,3946,37,13,4964,Facebook,0,2288,200,32317.74
2024-12-22,P252,Jackets,Levis,Bangalore,C906,55,Silver,3947,12,19,10746,Instagram,1,2736,229,65993.84
2024-08-17,P273,Jeans,Adidas,Bangalore,C150,18,Platinum,2538,5,24,11548,Google Ads,1,4088,417,57866.399999999994
2024-07-09,P253,Jeans,Adidas,Delhi,C487,40,Platinum,3973,41,26,15244,Website,0,4523,112,60945.82000000001
2024-04-11,P151,Hats,Adidas,Kolkata,C565,54,Silver,2395,6,41,972,Website,1,2755,163,92303.29999999999
2024-06-25,P234,Hats,Nike,Delhi,C629,20,Silver,2085,0,37,767,Website,1,2313,498,77145.0
2024-03-15,P184,Jeans,Zara,Delhi,C145,43,Bronze,3577,28,42,2142,Instagram,0,1751,62,108168.48
2024-12-17,P207,Jackets,Levis,Delhi,C773,57,Silver,1584,47,32,15507,Instagram,1,3178,56,26864.640000000003
2024-09-01,P165,Jeans,Puma,Bangalore,C566,46,Gold,2855,0,9,19554,Website,1,3061,296,25695.0
2024-11-13,P122,Socks,Levis,Kolkata,C318,35,Platinum,4101,39,35,936,Instagram,1,4040,92,87556.35
2024-06-06,P170,Socks,Adidas,Kolkata,C997,21,Platinum,3992,28,22,3388,Website,1,3201,354,63233.28
2024-12-23,P239,Socks,Levis,Chennai,C411,30,Platinum,1722,34,17,5031,Website,1,3900,75,19320.839999999997
2024-10-13,P231,Sneakers,Puma,Delhi,C793,26,Bronze,1931,3,36,6707,Website,1,1767,429,67430.52
